0.73, 0x40d76860,  0.0354707,267.283,  0.0383918,1
0.73, 0x40d6dc40,  0.0356083,267.283,  0.0383918,1
0.74, 0x40d5c470,  0.0414821,267.217,  0.0425902,1
0.77, 0x40d85180,  0.0539514,267.017,  0.0571158,1
0.78, 0x40d822e0,  0.060617,266.95,  0.0626368,1
0.79, 0x40d88020,  0.0661334,266.883,  0.0685144,1
0.79, 0x40d90d10,  0.0634561,266.883,  0.0685144,1
0.8, 0x40d73a10,  0.0823659,266.817,  0.0844033,1
0.85, 0x40d93bb0,  0.121636,266.483,  0.125346,1
0.85, 0x40d7c5a0,  0.117324,266.483,  0.125346,1
0.87, 0x40d5f310,  0.140202,266.35,  0.144789,1
0.87, 0x40d6ada0,  0.138774,266.35,  0.144789,1
0.88, 0x40d621b0,  0.155043,266.283,  0.155194,1
0.88, 0x40d8de70,  0.148579,266.283,  0.155194,1
0.89, 0x40d8afd0,  0.164996,266.217,  0.166062,1
0.89, 0x40d58200,  0.159612,266.217,  0.166062,1
0.89, 0x40d59620,  0.164012,266.217,  0.166062,1
0.9, 0x40d65050,  0.180802,266.15,  0.192805,1
0.9, 0x40d67f00,  0.166931,266.15,  0.192805,1
0.91, 0x40d70ae0,  0.205097,266.083,  0.20545,1
0.91, 0x40d7f440,  0.201024,266.083,  0.20545,1
0.95, 0x40d79700,  0.260688,265.817,  0.261047,1
