0.83, 0x2d9c3f30,  0.104893,266.617,  0.107684,0, 0, 1
0.83, 0x2d9ce6e0,  0.103836,266.617,  0.107684,0, 0, 1
0.83, 0x2d9c84b0,  0.100477,266.617,  0.107684,0.107684, 1, 1
0.84, 0x2d9d7a30,  0.108132,266.55,  0.116296,0.107684, 1, 1
0.84, 0x2d9e3eb0,  0.111021,266.55,  0.116296,0.113425, 1, 1
0.85, 0x2d9f02f0,  0.124946,266.483,  0.125346,0.113425, 1, 1
0.86, 0x2d9d17f0,  0.131616,266.417,  0.134841,0.116405, 1, 1
0.88, 0x2d9c53f0,  0.151028,266.283,  0.155194,0.128052, 1, 1
0.89, 0x2d9cb5c0,  0.165582,266.217,  0.166062,0.138228, 1, 1
0.9, 0x2d9ff950,  0.167534,266.15,  0.192805,0.166062, 0, 1
0.9, 0x2d9ddc50,  0.186231,266.15,  0.192805,0.162439, 1, 1
0.9, 0x2d9f6510,  0.181377,266.15,  0.192805,0.173484, 1, 1
0.91, 0x2d9e0df0,  0.195682,266.083,  0.20545,0.192805, 0, 1
0.93, 0x2d9d4920,  0.226256,265.95,  0.23224,0.144003, 1, 1
0.95, 0x2da02a60,  0.25975,265.817,  0.261047,0.193592, 1, 1
0.96, 0x2d9ea0d0,  0.261913,265.75,  0.276213,0.229385, 1, 1
0.97, 0x2d9dab40,  0.285883,265.683,  0.291889,0.276213, 0, 1
0.97, 0x2d9e6fc0,  0.276933,265.683,  0.291889,0.276213, 0, 1
0.97, 0x2d9f3400,  0.287153,265.683,  0.291889,0.276213, 0, 1
1, 0x2d9ed1e0,  0.337352,265.483,  0.362778,0.276213, 0, 1
1, 0x2d9fc840,  0.332506,265.483,  0.362778,0.266823, 1, 1
1.02, 0x2d9f9730,  0.393758,265.35,  0.400448,0.362778, 0, 1
