0.7, 0x1b99feb0,  0.0263941,267.483,  0.0275674,0, 0, 1
0.72, 0x1b9844b0,  0.0323345,267.35,  0.0344963,0.0275674, 1, 1
0.74, 0x1b9af400,  0.0393341,267.217,  0.0425902,0.0344963, 0, 1
0.74, 0x1b98a6e0,  0.0388029,267.217,  0.0425902,0.0405667, 1, 1
0.76, 0x1b9ac2f0,  0.0473665,267.083,  0.0519413,0.0425902, 1, 1
0.76, 0x1b9a2fc0,  0.0476799,267.083,  0.0519413,0.0425902, 0, 1
0.77, 0x1b9b2510,  0.0565821,267.017,  0.0571158,0.0519413, 1, 1
0.8, 0x1b990920,  0.0806795,266.817,  0.0844033,0.0534844, 1, 1
0.8, 0x1b9bb950,  0.0733835,266.817,  0.0844033,0.0571158, 0, 1
0.8, 0x1b9b8840,  0.0839283,266.817,  0.0844033,0.0844033, 1, 1
0.84, 0x1b9bea60,  0.113666,266.55,  0.116296,0.059645, 1, 1
0.85, 0x1b9a91e0,  0.123764,266.483,  0.125346,0.116296, 0, 1
0.87, 0x1b97ff30,  0.140952,266.35,  0.144789,0.0946961, 1, 1
0.87, 0x1b993a30,  0.139165,266.35,  0.144789,0.100371, 1, 1
0.89, 0x1b98d7f0,  0.16257,266.217,  0.166062,0.12287, 1, 1
0.89, 0x1b99cdf0,  0.163799,266.217,  0.166062,0.144789, 0, 1
0.9, 0x1b999c50,  0.180789,266.15,  0.192805,0.15249, 1, 1
0.9, 0x1b9813f0,  0.174471,266.15,  0.192805,0.140329, 1, 1
0.9, 0x1b996b40,  0.182422,266.15,  0.192805,0.166062, 0, 1
0.9, 0x1b9875c0,  0.176099,266.15,  0.192805,0.160744, 1, 1
0.9, 0x1b9a60d0,  0.18897,266.15,  0.192805,0.166062, 1, 1
0.94, 0x1b9b5730,  0.234178,265.883,  0.24639,0.192805, 0, 1
