0.6, 0x47838400,  0.00419932,268.15,  0.00565032,0, 0, 1
0.76, 0x47847a60,  0.0491106,267.083,  0.0519413,0.00565032, 1, 1
0.79, 0x4782bfc0,  0.0657247,266.883,  0.0685144,0.0519413, 0, 1
0.8, 0x4781ca30,  0.0823159,266.817,  0.0844033,0.0614323, 1, 1
0.81, 0x47828eb0,  0.0885388,266.75,  0.0917459,0.0581523, 1, 1
0.82, 0x47844950,  0.0918107,266.683,  0.0995034,0.0917459, 0, 1
0.83, 0x478352f0,  0.105056,266.617,  0.107684,0.0995034, 1, 1
0.83, 0x4783b510,  0.107048,266.617,  0.107684,0.0919006, 1, 1
0.84, 0x47808f30,  0.10814,266.55,  0.116296,0.104358, 1, 1
0.85, 0x478136e0,  0.124354,266.483,  0.125346,0.11199, 1, 1
0.85, 0x4780d4b0,  0.121455,266.483,  0.125346,0.102185, 1, 1
0.86, 0x47825df0,  0.127129,266.417,  0.134841,0.125346, 0, 1
0.87, 0x4781fb40,  0.142137,266.35,  0.144789,0.134841, 0, 1
0.89, 0x478105c0,  0.156779,266.217,  0.166062,0.137665, 1, 1
0.9, 0x478167f0,  0.16925,266.15,  0.192805,0.118611, 1, 1
0.9, 0x4782f0d0,  0.17313,266.15,  0.192805,0.158971, 1, 1
0.93, 0x4780a3f0,  0.219207,265.95,  0.23224,0.166992, 1, 1
0.94, 0x47819920,  0.242988,265.883,  0.24639,0.17653, 1, 1
0.94, 0x47841840,  0.243903,265.883,  0.24639,0.209207, 1, 1
1, 0x47822c50,  0.33768,265.483,  0.362778,0.241673, 1, 1
1, 0x478321e0,  0.332165,265.483,  0.362778,0.24639, 0, 1
1.02, 0x4783e730,  0.393151,265.35,  0.400448,0.362778, 0, 1
