Freezing_Time_Value
0.189121
0.357786
0.20259
0.300921
0.415637
0.205254
0.350068
0.55248
0.195111
0.360428
0.394613
0.373244
0.595915
0.233999
0.303549
0.390939
0.33587
0.360825
0.228626
0.192294
0.295449
0.161058
0.365037
0.364678
0.316428
0.26295
0.291039
0.264214
0.224713
0.248945
0.284288
0.257578
0.347224
0.643782
0.319252
0.254349
0.254604
0.17308
0.340356
0.312278
0.196916
0.356838
0.321634
0.289666
0.246405
0.294583
0.362652
0.229256
0.192487
0.345596
0.321378
0.325699
0.357508
0.439618
0.361443
0.25593
0.348199
0.161585
0.298499
0.329675
0.274065
0.410152
0.282334
0.627214
0.20628
0.208505
0.268234
0.500297
0.324253
0.218695
0.23251
0.447342
0.240941
0.317783
0.351285
0.441496
0.205509
0.203978
0.2829
0.21255
0.380755
0.280917
0.293078
0.221256
0.19259
0.242395
0.252742
0.33944
0.223653
0.373512
0.277662
0.272273
0.429891
0.313733
0.359829
0.320653
0.252181
0.269037
0.473953
0.285936
